form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2022-08-30,0001535527-22-000016,crwd-20220830.htm,713975,CRWD,1535527,
8-K,2022-07-06,0001104659-22-077774,tm2220303d1_8k.htm,255443,CRWD,1535527,
10-Q,2022-06-03,0001535527-22-000012,crwd-20220430.htm,7677578,CRWD,1535527,
8-K,2022-06-02,0001535527-22-000010,crwd-20220602.htm,561220,CRWD,1535527,
8-K,2022-04-08,0001104659-22-044351,tm2212244d1_8k.htm,206129,CRWD,1535527,
10-K,2022-03-16,0001535527-22-000006,crwd-20220131.htm,20865856,CRWD,1535527,
8-K,2022-03-09,0001535527-22-000004,crwd-20220309.htm,806372,CRWD,1535527,
8-K,2022-01-14,0001104659-22-004504,tm222862d1_8k.htm,323701,CRWD,1535527,
8-K,2021-12-30,0001104659-21-154724,tm2136531d1_8k.htm,237904,CRWD,1535527,
10-Q,2021-12-02,0001535527-21-000028,crwd-20211031.htm,9861038,CRWD,1535527,
8-K,2021-12-01,0001535527-21-000026,crwd-20211201.htm,797044,CRWD,1535527,
8-K,2021-10-22,0001104659-21-129072,tm2130856d1_8k.htm,195888,CRWD,1535527,
8-K,2021-09-17,0001104659-21-117007,tm2127949d1_8k.htm,196473,CRWD,1535527,
10-Q,2021-09-01,0001535527-21-000022,crwd-20210731.htm,10128231,CRWD,1535527,
8-K,2021-08-31,0001535527-21-000017,crwd-20210831.htm,788022,CRWD,1535527,
8-K,2021-08-06,0001104659-21-101531,tm2124374d1_8k.htm,196019,CRWD,1535527,
8-K,2021-07-02,0001104659-21-089005,tm2121414d1_8k.htm,264971,CRWD,1535527,
10-Q,2021-06-04,0001535527-21-000013,crwd-20210430.htm,12542442,CRWD,1535527,
8-K,2021-06-03,0001535527-21-000011,crwd-20210603.htm,627468,CRWD,1535527,
8-K,2021-04-09,0001104659-21-048810,tm2112658d1_8k.htm,203780,CRWD,1535527,
10-K,2021-03-18,0001535527-21-000007,crwd-20210131.htm,13755446,CRWD,1535527,
8-K,2021-03-16,0001535527-21-000005,crwd-20210316.htm,759037,CRWD,1535527,
8-K,2021-03-12,0001104659-21-035670,tm219494d1_8k.htm,236051,CRWD,1535527,
8-K,2021-02-18,0001104659-21-025063,tm217160d1_8k.htm,18036,CRWD,1535527,
8-K,2021-01-20,0001104659-21-005883,tm213272-1_8k.htm,1466573,CRWD,1535527,
8-K,2021-01-05,0001104659-21-000959,tm2039203d4_8k.htm,1566328,CRWD,1535527,
8-K,2020-12-03,0001104659-20-132008,tm2037694d1_8k.htm,202722,CRWD,1535527,
10-Q,2020-12-03,0001535527-20-000025,crwd-20201031.htm,10487185,CRWD,1535527,
8-K,2020-12-02,0001535527-20-000023,crwd-20201202.htm,724362,CRWD,1535527,
8-K,2020-09-24,0001104659-20-107900,tm2031651-1_8k.htm,201376,CRWD,1535527,
10-Q,2020-09-03,0001535527-20-000019,crwd-20200731.htm,11585410,CRWD,1535527,
8-K,2020-09-02,0001535527-20-000017,crwd-20200902.htm,894743,CRWD,1535527,
8-K,2020-07-08,0001104659-20-082109,tm2024340d1_8k.htm,207093,CRWD,1535527,
8-K,2020-06-18,0001104659-20-074711,tm2022965d1_8k.htm,199204,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465920074711/0001104659-20-074711-index.htm
10-Q,2020-06-03,0001535527-20-000012,crwd-20200430.htm,10132575,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000012/0001535527-20-000012-index.htm
8-K,2020-06-02,0001535527-20-000010,crwd-20200602.htm,735416,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000010/0001535527-20-000010-index.htm
8-K,2020-04-10,0001104659-20-045597,tm2015654d1_8k.htm,210825,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465920045597/0001104659-20-045597-index.htm
10-K,2020-03-23,0001535527-20-000006,crwd-20200131.htm,17985397,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000006/0001535527-20-000006-index.htm
8-K,2020-03-19,0001535527-20-000004,crwd-20200319.htm,1046464,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000004/0001535527-20-000004-index.htm
10-Q,2019-12-06,0001535527-19-000011,crwd-20191031.htm,21868570,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552719000011/0001535527-19-000011-index.htm
8-K,2019-12-05,0001535527-19-000007,crwd-20191205.htm,1018346,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552719000007/0001535527-19-000007-index.htm
10-Q,2019-09-06,0001558370-19-008521,crwd-20190731x10q.htm,13147977,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000155837019008521/0001558370-19-008521-index.htm
8-K,2019-09-05,0001558370-19-008509,f8-k.htm,1237603,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000155837019008509/0001558370-19-008509-index.htm
10-Q,2019-07-19,0001558370-19-006161,crwd-20190430x10q.htm,11114592,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000155837019006161/0001558370-19-006161-index.htm
8-K,2019-07-18,0001558370-19-006148,f8-k.htm,689639,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000155837019006148/0001558370-19-006148-index.htm
8-K,2019-06-14,0001104659-19-035685,a19-11597_18k.htm,267875,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465919035685/0001104659-19-035685-index.htm
S-1,2019-05-14,0001047469-19-003095,a2238800zs-1.htm,13724800,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000104746919003095/0001047469-19-003095-index.htm
